	A->C	A->G	A->T	C->A	C->G	C->T	G->A	G->C	G->T	T->A	T->C	T->G
0	1.853e-3 [1.726e-3..1.989e-3]	4.064e-3 [3.875e-3..4.263e-3]	3.269e-3 [3.099e-3..3.448e-3]	6.661e-3 [6.254e-3..7.094e-3]	3.057e-3 [2.785e-3..3.355e-3]	8.004e-2 [7.865e-2..8.145e-2]	1.236e-2 [1.183e-2..1.292e-2]	4.131e-3 [3.828e-3..4.459e-3]	6.703e-3 [6.314e-3..7.116e-3]	3.845e-3 [3.624e-3..4.079e-3]	4.581e-3 [4.339e-3..4.836e-3]	2.169e-3 [2.005e-3..2.347e-3]
1	1.986e-3 [1.849e-3..2.134e-3]	4.273e-3 [4.070e-3..4.487e-3]	3.030e-3 [2.859e-3..3.211e-3]	5.357e-3 [5.001e-3..5.738e-3]	3.188e-3 [2.916e-3..3.485e-3]	1.427e-2 [1.369e-2..1.488e-2]	9.514e-3 [9.075e-3..9.974e-3]	3.316e-3 [3.061e-3..3.593e-3]	5.061e-3 [4.743e-3..5.400e-3]	3.421e-3 [3.216e-3..3.639e-3]	4.865e-3 [4.620e-3..5.124e-3]	2.201e-3 [2.038e-3..2.377e-3]
2	1.847e-3 [1.713e-3..1.991e-3]	4.041e-3 [3.840e-3..4.251e-3]	2.770e-3 [2.605e-3..2.946e-3]	5.452e-3 [5.093e-3..5.837e-3]	2.982e-3 [2.719e-3..3.270e-3]	1.171e-2 [1.118e-2..1.226e-2]	8.443e-3 [8.041e-3..8.865e-3]	3.374e-3 [3.123e-3..3.645e-3]	4.678e-3 [4.381e-3..4.996e-3]	3.051e-3 [2.858e-3..3.257e-3]	4.175e-3 [3.948e-3..4.414e-3]	2.384e-3 [2.214e-3..2.566e-3]
3	1.881e-3 [1.748e-3..2.026e-3]	3.429e-3 [3.247e-3..3.621e-3]	2.095e-3 [1.954e-3..2.247e-3]	4.626e-3 [4.311e-3..4.965e-3]	2.911e-3 [2.663e-3..3.182e-3]	9.463e-3 [9.008e-3..9.941e-3]	9.457e-3 [9.025e-3..9.910e-3]	3.733e-3 [3.464e-3..4.022e-3]	5.300e-3 [4.978e-3..5.642e-3]	3.263e-3 [3.057e-3..3.483e-3]	4.657e-3 [4.410e-3..4.918e-3]	2.336e-3 [2.163e-3..2.523e-3]
4	1.895e-3 [1.762e-3..2.038e-3]	3.724e-3 [3.536e-3..3.922e-3]	2.240e-3 [2.095e-3..2.395e-3]	4.720e-3 [4.400e-3..5.064e-3]	3.322e-3 [3.055e-3..3.613e-3]	9.685e-3 [9.222e-3..1.017e-2]	9.276e-3 [8.850e-3..9.723e-3]	4.091e-3 [3.811e-3..4.392e-3]	6.587e-3 [6.229e-3..6.965e-3]	3.031e-3 [2.830e-3..3.247e-3]	4.795e-3 [4.541e-3..5.064e-3]	2.077e-3 [1.912e-3..2.257e-3]
5	1.647e-3 [1.525e-3..1.780e-3]	3.613e-3 [3.429e-3..3.806e-3]	2.250e-3 [2.106e-3..2.404e-3]	4.826e-3 [4.494e-3..5.183e-3]	2.937e-3 [2.680e-3..3.218e-3]	9.337e-3 [8.871e-3..9.827e-3]	8.989e-3 [8.565e-3..9.434e-3]	3.656e-3 [3.389e-3..3.945e-3]	5.625e-3 [5.291e-3..5.980e-3]	3.269e-3 [3.061e-3..3.490e-3]	4.636e-3 [4.388e-3..4.897e-3]	2.184e-3 [2.016e-3..2.366e-3]
6	1.796e-3 [1.666e-3..1.935e-3]	3.528e-3 [3.346e-3..3.721e-3]	2.324e-3 [2.176e-3..2.481e-3]	4.653e-3 [4.331e-3..4.999e-3]	2.767e-3 [2.521e-3..3.036e-3]	8.869e-3 [8.421e-3..9.340e-3]	8.938e-3 [8.511e-3..9.387e-3]	3.623e-3 [3.354e-3..3.913e-3]	6.227e-3 [5.872e-3..6.604e-3]	2.844e-3 [2.654e-3..3.049e-3]	4.822e-3 [4.572e-3..5.086e-3]	2.185e-3 [2.019e-3..2.365e-3]
7	1.733e-3 [1.605e-3..1.872e-3]	3.488e-3 [3.304e-3..3.683e-3]	2.016e-3 [1.877e-3..2.165e-3]	4.336e-3 [4.027e-3..4.668e-3]	3.080e-3 [2.822e-3..3.363e-3]	8.586e-3 [8.148e-3..9.047e-3]	8.486e-3 [8.081e-3..8.913e-3]	3.569e-3 [3.309e-3..3.850e-3]	5.768e-3 [5.435e-3..6.122e-3]	3.126e-3 [2.926e-3..3.340e-3]	4.607e-3 [4.363e-3..4.865e-3]	2.221e-3 [2.054e-3..2.403e-3]
8	1.701e-3 [1.573e-3..1.839e-3]	3.516e-3 [3.330e-3..3.712e-3]	2.116e-3 [1.973e-3..2.269e-3]	4.526e-3 [4.212e-3..4.863e-3]	3.005e-3 [2.751e-3..3.282e-3]	9.186e-3 [8.735e-3..9.660e-3]	8.625e-3 [8.218e-3..9.053e-3]	4.260e-3 [3.976e-3..4.564e-3]	6.042e-3 [5.702e-3..6.402e-3]	2.893e-3 [2.700e-3..3.100e-3]	4.758e-3 [4.509e-3..5.021e-3]	1.980e-3 [1.822e-3..2.152e-3]
9	1.804e-3 [1.673e-3..1.944e-3]	3.507e-3 [3.324e-3..3.700e-3]	2.067e-3 [1.928e-3..2.217e-3]	4.408e-3 [4.099e-3..4.741e-3]	2.931e-3 [2.680e-3..3.204e-3]	8.719e-3 [8.280e-3..9.181e-3]	8.476e-3 [8.069e-3..8.903e-3]	4.033e-3 [3.755e-3..4.332e-3]	6.001e-3 [5.660e-3..6.363e-3]	2.671e-3 [2.483e-3..2.872e-3]	4.574e-3 [4.327e-3..4.835e-3]	1.837e-3 [1.683e-3..2.005e-3]
