	A->C	A->G	A->T	C->A	C->G	C->T	G->A	G->C	G->T	T->A	T->C	T->G
-80	1.554e-3 [1.294e-3..1.866e-3]	3.912e-3 [3.486e-3..4.391e-3]	1.977e-3 [1.680e-3..2.325e-3]	3.057e-3 [2.592e-3..3.606e-3]	2.227e-3 [1.835e-3..2.703e-3]	8.429e-3 [7.632e-3..9.309e-3]	7.912e-3 [7.137e-3..8.771e-3]	2.807e-3 [2.360e-3..3.338e-3]	3.669e-3 [3.152e-3..4.270e-3]	1.379e-3 [1.140e-3..1.667e-3]	6.036e-3 [5.512e-3..6.608e-3]	1.912e-3 [1.627e-3..2.247e-3]
-79	2.064e-3 [1.764e-3..2.416e-3]	3.756e-3 [3.343e-3..4.220e-3]	2.264e-3 [1.949e-3..2.631e-3]	3.178e-3 [2.720e-3..3.712e-3]	2.132e-3 [1.763e-3..2.578e-3]	8.789e-3 [8.006e-3..9.648e-3]	8.412e-3 [7.636e-3..9.266e-3]	2.832e-3 [2.396e-3..3.346e-3]	3.720e-3 [3.216e-3..4.304e-3]	1.618e-3 [1.362e-3..1.924e-3]	6.550e-3 [6.011e-3..7.136e-3]	2.048e-3 [1.757e-3..2.389e-3]
-78	1.580e-3 [1.328e-3..1.879e-3]	4.305e-3 [3.875e-3..4.782e-3]	2.065e-3 [1.774e-3..2.404e-3]	3.234e-3 [2.779e-3..3.764e-3]	2.338e-3 [1.956e-3..2.795e-3]	8.845e-3 [8.071e-3..9.693e-3]	7.868e-3 [7.133e-3..8.678e-3]	2.523e-3 [2.121e-3..3.001e-3]	3.735e-3 [3.239e-3..4.307e-3]	1.358e-3 [1.128e-3..1.636e-3]	5.434e-3 [4.953e-3..5.962e-3]	2.044e-3 [1.757e-3..2.378e-3]
-77	1.955e-3 [1.681e-3..2.274e-3]	4.050e-3 [3.647e-3..4.498e-3]	1.862e-3 [1.595e-3..2.174e-3]	3.209e-3 [2.762e-3..3.728e-3]	1.963e-3 [1.621e-3..2.378e-3]	9.288e-3 [8.506e-3..1.014e-2]	8.309e-3 [7.563e-3..9.128e-3]	1.913e-3 [1.572e-3..2.328e-3]	3.343e-3 [2.881e-3..3.878e-3]	1.551e-3 [1.308e-3..1.839e-3]	5.841e-3 [5.351e-3..6.376e-3]	1.739e-3 [1.481e-3..2.043e-3]
-76	1.834e-3 [1.574e-3..2.137e-3]	4.003e-3 [3.610e-3..4.439e-3]	3.444e-3 [3.081e-3..3.850e-3]	3.213e-3 [2.771e-3..3.727e-3]	2.105e-3 [1.753e-3..2.528e-3]	9.326e-3 [8.551e-3..1.017e-2]	9.219e-3 [8.440e-3..1.007e-2]	2.097e-3 [1.742e-3..2.524e-3]	3.740e-3 [3.255e-3..4.298e-3]	1.840e-3 [1.583e-3..2.139e-3]	4.835e-3 [4.407e-3..5.305e-3]	1.884e-3 [1.623e-3..2.186e-3]
-75	1.698e-3 [1.451e-3..1.986e-3]	4.151e-3 [3.754e-3..4.589e-3]	2.245e-3 [1.958e-3..2.574e-3]	3.378e-3 [2.936e-3..3.887e-3]	2.455e-3 [2.082e-3..2.894e-3]	8.044e-3 [7.346e-3..8.809e-3]	8.896e-3 [8.153e-3..9.707e-3]	2.171e-3 [1.818e-3..2.591e-3]	3.487e-3 [3.033e-3..4.010e-3]	1.664e-3 [1.425e-3..1.942e-3]	5.542e-3 [5.092e-3..6.031e-3]	1.622e-3 [1.387e-3..1.897e-3]
-74	1.604e-3 [1.368e-3..1.880e-3]	3.877e-3 [3.499e-3..4.294e-3]	2.411e-3 [2.117e-3..2.745e-3]	3.334e-3 [2.908e-3..3.822e-3]	2.196e-3 [1.855e-3..2.598e-3]	8.896e-3 [8.184e-3..9.670e-3]	8.153e-3 [7.466e-3..8.902e-3]	2.419e-3 [2.058e-3..2.844e-3]	3.712e-3 [3.257e-3..4.230e-3]	1.703e-3 [1.465e-3..1.981e-3]	6.459e-3 [5.978e-3..6.979e-3]	1.693e-3 [1.455e-3..1.970e-3]
-73	1.604e-3 [1.374e-3..1.872e-3]	4.350e-3 [3.960e-3..4.777e-3]	2.826e-3 [2.515e-3..3.175e-3]	3.404e-3 [2.981e-3..3.887e-3]	2.071e-3 [1.747e-3..2.455e-3]	9.052e-3 [8.346e-3..9.817e-3]	8.013e-3 [7.354e-3..8.732e-3]	2.578e-3 [2.215e-3..3.000e-3]	3.836e-3 [3.387e-3..4.344e-3]	1.860e-3 [1.612e-3..2.146e-3]	5.818e-3 [5.367e-3..6.308e-3]	1.661e-3 [1.428e-3..1.932e-3]
-72	2.007e-3 [1.757e-3..2.292e-3]	3.866e-3 [3.513e-3..4.254e-3]	2.793e-3 [2.496e-3..3.126e-3]	2.940e-3 [2.555e-3..3.383e-3]	2.273e-3 [1.938e-3..2.667e-3]	8.002e-3 [7.350e-3..8.711e-3]	8.470e-3 [7.795e-3..9.203e-3]	2.179e-3 [1.849e-3..2.567e-3]	4.296e-3 [3.823e-3..4.829e-3]	1.964e-3 [1.712e-3..2.252e-3]	5.391e-3 [4.963e-3..5.855e-3]	1.867e-3 [1.623e-3..2.149e-3]
-71	1.562e-3 [1.346e-3..1.811e-3]	4.308e-3 [3.940e-3..4.710e-3]	2.647e-3 [2.362e-3..2.967e-3]	3.527e-3 [3.107e-3..4.003e-3]	2.104e-3 [1.786e-3..2.479e-3]	8.802e-3 [8.125e-3..9.535e-3]	8.147e-3 [7.499e-3..8.851e-3]	2.662e-3 [2.302e-3..3.078e-3]	3.794e-3 [3.359e-3..4.285e-3]	1.825e-3 [1.592e-3..2.093e-3]	5.324e-3 [4.914e-3..5.768e-3]	1.638e-3 [1.417e-3..1.892e-3]
-70	1.637e-3 [1.418e-3..1.888e-3]	4.131e-3 [3.775e-3..4.520e-3]	2.652e-3 [2.370e-3..2.967e-3]	3.294e-3 [2.899e-3..3.744e-3]	2.323e-3 [1.995e-3..2.705e-3]	8.363e-3 [7.719e-3..9.060e-3]	7.726e-3 [7.107e-3..8.398e-3]	2.458e-3 [2.119e-3..2.850e-3]	4.350e-3 [3.892e-3..4.863e-3]	1.787e-3 [1.563e-3..2.044e-3]	4.983e-3 [4.598e-3..5.400e-3]	1.990e-3 [1.752e-3..2.260e-3]
-69	1.937e-3 [1.702e-3..2.205e-3]	4.435e-3 [4.071e-3..4.831e-3]	3.050e-3 [2.751e-3..3.382e-3]	3.440e-3 [3.049e-3..3.882e-3]	2.705e-3 [2.360e-3..3.100e-3]	8.351e-3 [7.729e-3..9.022e-3]	8.436e-3 [7.815e-3..9.106e-3]	2.605e-3 [2.269e-3..2.990e-3]	4.121e-3 [3.693e-3..4.598e-3]	1.938e-3 [1.705e-3..2.203e-3]	5.615e-3 [5.208e-3..6.054e-3]	1.797e-3 [1.573e-3..2.053e-3]
-68	1.845e-3 [1.621e-3..2.100e-3]	4.383e-3 [4.031e-3..4.766e-3]	2.772e-3 [2.494e-3..3.080e-3]	3.488e-3 [3.101e-3..3.924e-3]	2.629e-3 [2.295e-3..3.010e-3]	8.530e-3 [7.913e-3..9.195e-3]	8.123e-3 [7.523e-3..8.770e-3]	2.407e-3 [2.090e-3..2.772e-3]	4.149e-3 [3.726e-3..4.620e-3]	2.179e-3 [1.936e-3..2.452e-3]	5.281e-3 [4.895e-3..5.697e-3]	2.139e-3 [1.899e-3..2.410e-3]
-67	1.690e-3 [1.484e-3..1.924e-3]	4.280e-3 [3.945e-3..4.643e-3]	2.426e-3 [2.177e-3..2.704e-3]	3.386e-3 [3.011e-3..3.808e-3]	2.726e-3 [2.391e-3..3.107e-3]	9.131e-3 [8.502e-3..9.806e-3]	8.828e-3 [8.206e-3..9.497e-3]	2.365e-3 [2.053e-3..2.724e-3]	3.640e-3 [3.248e-3..4.080e-3]	2.521e-3 [2.263e-3..2.809e-3]	5.173e-3 [4.798e-3..5.578e-3]	1.799e-3 [1.583e-3..2.044e-3]
-66	1.735e-3 [1.527e-3..1.970e-3]	4.263e-3 [3.931e-3..4.624e-3]	3.006e-3 [2.729e-3..3.312e-3]	3.490e-3 [3.115e-3..3.910e-3]	2.476e-3 [2.163e-3..2.834e-3]	9.445e-3 [8.815e-3..1.012e-2]	8.210e-3 [7.619e-3..8.845e-3]	2.412e-3 [2.101e-3..2.769e-3]	4.309e-3 [3.886e-3..4.777e-3]	1.990e-3 [1.771e-3..2.236e-3]	5.074e-3 [4.717e-3..5.458e-3]	1.891e-3 [1.678e-3..2.131e-3]
-65	1.994e-3 [1.775e-3..2.241e-3]	4.131e-3 [3.809e-3..4.480e-3]	2.825e-3 [2.561e-3..3.116e-3]	3.656e-3 [3.283e-3..4.072e-3]	2.681e-3 [2.364e-3..3.041e-3]	8.964e-3 [8.369e-3..9.600e-3]	8.381e-3 [7.797e-3..9.009e-3]	2.736e-3 [2.410e-3..3.106e-3]	3.817e-3 [3.428e-3..4.249e-3]	2.178e-3 [1.953e-3..2.430e-3]	5.344e-3 [4.984e-3..5.730e-3]	1.763e-3 [1.561e-3..1.991e-3]
